drugbank_id,name,type,description,indication,atc_codes,categories
DB00001,Lepirudin,biotech,"Lepirudin is a recombinant hirudin formed by 65 amino acids that acts as a highly specific and direct thrombin inhibitor.[L41539,L41569] Natural hirudin is an endogenous anticoagulant found in _Hirudo medicinalis_ leeches.[L41539] Lepirudin is produced in yeast cells and is identical to natural hirudin except for the absence of sulfate on the tyrosine residue at position 63 and the substitution of leucine for isoleucine at position 1 (N-terminal end).[A246609] 

Lepirudin is used as an anticoa","Lepirudin is indicated for anticoagulation in adult patients with acute coronary syndromes (ACS) such as unstable angina and acute myocardial infarction without ST elevation. In patients with ACS, lepirudin is intended for use with [aspirin].[L41539] Lepirudin is also indicated for anticoagulation in patients with heparin-induced thrombocytopenia (HIT) and associated thromboembolic disease in order to prevent further thromboembolic complications.[L41539]",B01AE02,"Amino Acids, Peptides, and Proteins|Anticoagulants|Antithrombin Proteins|Antithrombins|Blood and Blood Forming Organs"
DB00002,Cetuximab,biotech,"Cetuximab is a recombinant chimeric human/mouse IgG1 monoclonal antibody that competitively binds to epidermal growth factor receptor (EGFR) and competitively inhibits the binding of epidermal growth factor (EGF).[A227973] EGFR is a member of the ErbB family of receptor tyrosine kinases found in both normal and tumour cells; it is responsible for regulating epithelial tissue development and homeostasis.[A228083] EGFR has been implicated in various types of cancer, as it is often overexpressed in","Cetuximab indicated for the treatment of locally or regionally advanced squamous cell carcinoma of the head and neck in combination with radiation therapy. It is indicated for treating a recurrent locoregional disease or metastatic squamous cell carcinoma of the head and neck in combination with platinum-based therapy with fluorouracil. It is indicated for recurrent or metastatic squamous cell carcinoma of the head and neck progressing after platinum-based therapy.[L30448]

Cetuximab is also i",L01FE01,"Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Antineoplastic Agents"
DB00003,Dornase alfa,biotech,"Dornase alfa is a biosynthetic form of human deoxyribunuclease I (DNase I) enzyme. It is produced in genetically modified Chinese hamster ovary (CHO) cells using recombinant DNA technology. The 260-amino acid sequence of dornase alfa is identical to the endogenous human enzyme. Dornase alfa cleaves extracellular DNA to 5´-phosphodinucleotide and 5´-phosphooligonucleotide end products without affecting intracellular DNA. In individuals with cystic fibrosis, extracellular DNA, which is an extremel",Used as adjunct therapy in the treatment of cystic fibrosis. ,R05CB13,"Amino Acids, Peptides, and Proteins|Cough and Cold Preparations|Decreased Respiratory Secretion Viscosity|Deoxyribonucleases|Endodeoxyribonucleases"
DB00004,Denileukin diftitox,biotech,"Denileukin diftitox is an IL2-receptor-directed cytotoxin, is a recombinant DNA-derived fusion protein composed of the amino acid sequences for diphtheria toxin fragments A and B (Met<sub>1</sub>-Thr<sub>387</sub>)-His and the sequence for human interleukin-2 (IL-2; Ala<sub>1</sub>-Thr<sub>133</sub>).[L51254] It is designed to deliver diphtheria toxin into IL-2 receptor-expressing cancer cells to cause cell death.[A264349, L51254]

Denileukin diftitox was originally approved by the FDA in 1999",Denileukin diftitox was previously indicated for the treatment of adult patients with persistent or recurrent cutaneous T-cell lymphoma (CTCL) whose malignant cells express the CD25 component of the IL-2 receptor.[L26381] It is also indicated for the treatment of adult patients with relapsed or refractory Stage I-III CTCL after at least one prior systemic therapy.[L51254],L01XX29,"ADP Ribose Transferases|Amino Acids, Peptides, and Proteins|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Bacterial Toxins"
DB00005,Etanercept,biotech,"Dimeric fusion protein consisting of the extracellular ligand-binding portion of the human 75 kilodalton (p75) tumor necrosis factor receptor (TNFR) linked to the Fc portion of human IgG1.[L14862,A216522] The Fc component of etanercept contains the CH2 domain, the CH3 domain and hinge region, but not the CH1 domain of IgG1. Etanercept is produced by recombinant DNA technology in a Chinese hamster ovary (CHO) mammalian cell expression system. It consists of 934 amino acids. It is used to treat or","Etanercept is indicated for the treatment of moderately to severely active rheumatoid arthritis in adults and in chronic moderate to severe plaque psoriasis in patients 4 years of age and older.[L14862,L45523] It is also used to manage signs and symptoms of polyarticular idiopathic arthritis and Juvenile Psoriatic Arthritis in those aged 2 years and older. Etanercept is also used to manage the symptoms of psoriatic arthritis and ankylosing spondylitis.[L48526] ",L04AB01,"Agents reducing cytokine levels|Amino Acids, Peptides, and Proteins|Anti-Inflammatory Agents|Antibodies|Antirheumatic Agents"
DB00006,Bivalirudin,small molecule,"Bivalirudin is a synthetic 20 residue peptide (thrombin inhibitor) which reversibly inhibits thrombin. Once bound to the active site, thrombin cannot activate fibrinogen into fibrin, the crucial step in the formation of thrombus. It is administered intravenously. Because it can cause blood stagnation, it is important to monitor changes in hematocrit, activated partial thromboplastin time, international normalized ratio and blood pressure.","For treatment of heparin-induced thrombocytopenia and for the prevention of thrombosis. Bivalirudin is indicated for use in patients undergoing percutaneous coronary intervention (PCI), in patients at moderate to high risk acute coronary syndromes due to unstable angina or non-ST segment elevation in whom a PCI is planned.",B01AE06,"Amino Acids, Peptides, and Proteins|Anticoagulants|Antithrombins|Blood and Blood Forming Organs|Enzyme Inhibitors"
DB00007,Leuprolide,biotech,"Leuprolide is a synthetic 9-residue peptide analogue of gonadotropin-releasing hormone (GnRH). Unlike the endogenous decapeptide GnRH, leuprolide contains a single D-amino acid (D-leucyl) residue, which helps to increase its circulating half-life from three to four minutes to approximately three hours.[A203222] As a GnRH mimic, leuprolide is capable of binding to the GnRH receptor (GnRHR) and inducing downstream modulation of both gonadotropin hormone and sex steroid levels. Prolonged activation","Leuprolide is indicated for the treatment of advanced prostate cancer [L13781, L34415] and as palliative treatment of advanced prostate cancer.[L13790] 

It is also used for the treatment of pediatric patients with central precocious puberty (CPP).[L13784, L13787] 

In combination with oral [norethisterone] (also known as norethindrone), leuprolide is also indicated for the initial treatment of the symptoms of endometriosis.[L10310] Finally, in combination with iron supplementation, leuproli",L02AE51|L02AE02,"Adrenal Cortex Hormones|Agents Causing Muscle Toxicity|Amino Acids, Peptides, and Proteins|Antineoplastic Agents|Antineoplastic Agents, Hormonal"
DB00008,Peginterferon alfa-2a,biotech,"Peginterferon alfa-2a is a form of recombinant interferon used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the developm","Peginterferon alfa-2a is indicated for the treatment of HCV in combination with other antiviral drugs in patients over 5 years of age with compensated liver disease [FDA Label]. May be used as a monotherapy in patients with contraindications to or significant intolerance to other anti-viral therapies.

Peginterferon alfa-2a is also indicated as a monotherapy for adult patients with HBeAg positive and HBeAg negative chronic hepatitis B infection who have compensated liver disease and evidence o",L03AB11|L03AB61,"Adjuvants, Immunologic|Alcohols|Alfa Interferons|Amino Acids, Peptides, and Proteins|Anti-Infective Agents"
DB00009,Alteplase,biotech,"Alteplase is a recombinant tissue plasminogen activator (rt-PA) used as a thrombolytic agent.[L43125] It cleaves plasminogen to form plasmin, an enzyme involved in the degradation of fibrin clots. In the absence of fibrin, the alteplase-mediated conversion of plasminogen is limited, thanks to the high affinity between alteplase and fibrin.[A252330,L43125] Alteplase is a purified glycoprotein of 527 amino acids expressed in Chinese hamster ovary (CHO) cells.[A252345,L43125] It was first approved ","Alteplase is indicated for the treatment of acute ischemic stroke (AIS) and for use in acute myocardial infarction (AMI) for the reduction of mortality and incidence of heart failure. Alteplase is also indicated for the lysis of acute massive pulmonary embolism, defined as acute pulmonary emboli obstructing blood flow to a lobe or multiple lung segments, and acute pulmonary emboli accompanied by unstable hemodynamics.[L43125]",B01AD02|S01XA13,"Agents causing angioedema|Amino Acids, Peptides, and Proteins|Anticoagulants|Blood and Blood Forming Organs|Blood Proteins"
DB00010,Sermorelin,biotech,Sermorelin acetate is the acetate salt of an amidated synthetic 29-amino acid peptide (GRF 1-29 NH 2 ) that corresponds to the amino-terminal segment of the naturally occurring human growth hormone-releasing hormone (GHRH or GRF) consisting of 44 amino acid residues,"For the treatment of dwarfism, prevention of HIV-induced weight loss",V04CD03|H01AC04,"Amino Acids, Peptides, and Proteins|Anterior Pituitary Lobe Hormones and Analogues|Diagnostic Agents|Growth Hormone-Releasing Hormone|Hormones"
DB00011,Interferon alfa-n1,biotech,"Interferon alfa-n1 consists of purified, natural (n is for natural) alpha interferon subtypes, at least two of which are glycosylated. This differs from recombinant alpha interferons, which are individual non-glycosylated proteins produced from individual alpha interferon genes.",For the treatment of venereal or genital warts caused by the Human Papiloma Virus.,L03AB06,"Adjuvants, Immunologic|Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Antiviral Agents|Biological Factors"
DB00012,Darbepoetin alfa,biotech,"Human erythropoietin with 2 aa substitutions to enhance glycosylation (5 N-linked chains), 165 residues (MW=37 kD). Produced in Chinese hamster ovary (CHO) cells by recombinant DNA technology.",For the treatment of anemia (from renal transplants or certain HIV treatment),B03XA02,"Amino Acids, Peptides, and Proteins|Antianemic Preparations|Blood and Blood Forming Organs|Carbohydrates|Colony-Stimulating Factors"
DB00013,Urokinase,biotech,"Urokinase is an endogenous peptide that is cleaved in the presence of plasmin between lysine 158 and isoleucine 159 to yield active urokinase.[A191943] Urokinase remains connected between these 2 chains by a sulfhydryl bond.[A191943]

Urokinase was granted FDA approval on 16 January 1978.[L12138]","In Canada, urokinase is indicated for lysis of acute massive pulmonary emboli, acute thrombi obstructing coronary arteries, occlusive thromboemboli in peripheral arteries and grafts, and restoration of patency to intravenous catheters.[L12141]",B01AD04,"Agents causing angioedema|Amino Acids, Peptides, and Proteins|Anticoagulants|Biological Factors|Blood and Blood Forming Organs"
DB00014,Goserelin,small molecule,"Goserelin is a synthetic hormone. In men, it stops the production of the hormone testosterone, which may stimulate the growth of cancer cells. In women, goserelin decreases the production of the hormone estradiol (which may stimulate the growth of cancer cells) to levels similar to a postmenopausal state. When the medication is stopped, hormone levels return to normal.","Goserelin is indicated for:

- Use in combination with flutamide for the management of locally confined carcinoma of the prostate
- Palliative treatment of advanced carcinoma of the prostate
- The management of endometriosis
- Use as an endometrial-thinning agent prior to endometrial ablation for dysfunctional uterine bleeding
- Use in the palliative treatment of advanced breast cancer in pre- and perimenopausal women",L02AE03,"Adrenal Cortex Hormones|Amino Acids, Peptides, and Proteins|Antineoplastic Agents|Antineoplastic Agents, Hormonal|Antineoplastic and Immunomodulating Agents"
DB00015,Reteplase,biotech,"Human tissue plasminogen activator, purified, glycosylated, 355 residues purified from CHO cells. Retavase is considered a ""third-generation"" thrombolytic agent, genetically engineered to retain and delete certain portions of human tPA. Retavase is a deletion mutein of human tPA formed by deleting various amino acids present in endogenous human tPA. Retavase contains 355 of the 527 amino acids of native human tPA (amino acids 1-3 and 176-527), and retains the activity-related kringle-2 and serin","For lysis of acute pulmonary emboli, intracoronary emboli, and management of myocardial infarction.",B01AD07,"Agents causing angioedema|Amino Acids, Peptides, and Proteins|Anticoagulants|Biological Factors|Blood and Blood Forming Organs"
DB00016,Erythropoietin,biotech,"Erythropoietin (EPO) is a growth factor produced in the kidneys that stimulates the production of red blood cells. It works by promoting the division and differentiation of committed erythroid progenitors in the bone marrow [FDA Label]. Epoetin alfa (Epoge) was developed by Amgen Inc. in 1983 as the first rhEPO commercialized in the United States, followed by other alfa and beta formulations. Epoetin alfa is a 165-amino acid erythropoiesis-stimulating glycoprotein produced in cell culture using ","Indicated in adult and paediatric patients for the: 

- treatment of anemia due to Chronic Kidney Disease (CKD) in patients on dialysis and not on dialysis.
- treatment of anemia due to zidovudine in patients with HIV-infection. 
- treatment of anemia due to the effects of concomitant myelosuppressive chemotherapy, and upon initiation, there is a minimum of two additional months of planned chemotherapy.
- reduction of allogeneic RBC transfusions in patients undergoing elective, noncardiac, ",B03XA01,"Amino Acids, Peptides, and Proteins|Antianemic Preparations|Biological Factors|Blood and Blood Forming Organs|Carbohydrates"
DB00017,Salmon calcitonin,biotech,"Synthetic peptide, 32 residues long formulated as a nasal spray.","Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Calcitonin can be used in patients with azotemia a",H05BA01,"Amino Acids, Peptides, and Proteins|Bone Density Conservation Agents|Bone Density, drug effects|Calcitonin Preparations|Calcium Homeostasis"
DB00018,Interferon alfa-n3,biotech,"Purified, natural (n is for natural) human interferon alpha proteins (consists of 3 forms or polymorphisms including 2a, 2b and 2c). 166 residues, some are glycosylated (MW range from 16 kD to 27 kD).",For the intralesional treatment of refractory or recurring external condylomata acuminata.,,"Alfa Interferons|Amino Acids, Peptides, and Proteins|Biological Factors|Cytochrome P-450 CYP1A2 Inhibitors|Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)"
DB00019,Pegfilgrastim,biotech,"Pegfilgrastim is a PEGylated form of the recombinant human granulocyte colony-stimulating factor (G-CSF) analogue, [filgrastim].[A187601] The drug is approved for use to decrease the incidence of infection, as manifested by febrile neutropenia, in susceptible patients with with non-myeloid cancer receiving myelosuppressive anti-cancer treatment.[L9746] Although the risk of developing febrile neutropenia is less than 20% in many readily used chemotherapy regimens,[A248855] infections pose risks o","Pegfilgrastim is indicated to decrease the incidence of infection, as manifested by febrile neutropenia, in patients with non­ myeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a clinically significant incidence of febrile neutropenia.[L44221]

It is also indicated to increase survival in patients acutely exposed to myelosuppressive doses of radiation (Hematopoietic Subsyndrome of Acute Radiation Syndrome).[L44221]",L03AA13,"Adjuvants, Immunologic|Alcohols|Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Biological Factors"
DB00020,Sargramostim,biotech,Sargramostim is a human recombinant granulocyte macrophage colony-stimulating factor (GM-CSF) expressed in yeast. It is a glycoprotein that is 127 residues. Substitution of Leu23 leads to a difference from native protein.,For the treatment of cancer and bone marrow transplant,L03AA09,"Adjuvants, Immunologic|Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Biological Factors|Carbohydrates"
DB00022,Peginterferon alfa-2b,biotech,"Peginterferon alfa-2b is a form of recombinant interferon used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the developm","Peginterferon alfa-2b is indicated for the treatment of HCV in combination with [DB00811] and a NS3/4A protease inhibitor for genotype 1 or without a NS3/4A protease inhibitor for genotypes 2-6 [FDA Label]. May be used as a monotherapy in patients with contraindications to or significant intolerance to other anti-viral therapies.

It is also indicated for the adjuvant treatment of melanoma with microscopic or gross nodal involvement within 84 days of definitive surgical resection, including co",L03AB10|L03AB60,"Adjuvants, Immunologic|Alcohols|Alfa Interferons|Amino Acids, Peptides, and Proteins|Anti-Infective Agents"
DB00023,Asparaginase Escherichia coli,biotech,"Asparaginase derived from _Escherichia coli_ (L-asparagine amidohydrolase, EC 3.5.1.1) is an enzyme responsible for the metabolism of L-asparagine, by catalyzing L-asparagine into L-aspartic acid and ammonia. It also facilitates the production of oxaloacetate which is needed for general cellular metabolism. Asparaginase from _E. coli_ has clinically shown to exhibit antitumor actions in models of leukaemias [A31996, A31997]. L-asparaginase of _E. coli_ is marketed under several different trade n",Indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia (ALL).[L39809],L01XX02,Amidohydrolases|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Asparaginase|Asparagine-specific Enzyme
DB00024,Thyrotropin alfa,biotech,"Thyrotropin alfa is a recombinant form of thyroid stimulating hormone used in performing certain tests in patients who have or have had thyroid cancer. It is also used along with a radioactive agent to destroy remaining thyroid tissue in certain patients who have had their thyroid gland removed because of thyroid cancer. It is a heterodimeric glycoprotein comprised of two non-covalently linked subunits, an alpha subunit of 92 amino acid residues containing two N-linked glycosylation sites and a ",For detection of residueal or recurrent thyroid cancer,H01AB01,"Agents used to treat hypothyroidism|Anterior Pituitary Lobe Hormones and Analogues|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Peptide Hormones"
DB00025,"Antihemophilic factor, human recombinant",biotech,"Human recombinant antihemophilic factor (AHF) or Factor VIII, 2332 residues, glycosylated, produced by CHO cells","The human recombinant antihemophilic factor is indicated for use in adults and children with hemophilia A for the control and prevention of bleeding episodes, perioperative management, and routine prophylaxis to prevent or reduce the frequency of bleeding episodes.[L41025, L36130]",B02BD02,"Amino Acids, Peptides, and Proteins|Biological Factors|Blood and Blood Forming Organs|Blood Coagulation Factors|Blood Proteins"
DB00026,Anakinra,biotech,"Anakinra is a recombinant human interleukin-1 (IL-1) receptor antagonist (IL-1Ra) composed of 153 amino acid residues. Unlike native human IL-1Ra, anakinra has an additional methionine residue at the amino terminus. This drug binds to the IL-1 receptor, competing with and inhibiting the activity of IL-1 alpha and beta.[L35415] Anakinra is indicated for the management of rheumatoid arthritis (RA) in patients 18 years of age or older who have failed one or more disease-modifying antirheumatic drug","Anakinra is an interleukin-1 receptor antagonist indicated for the reduction in signs and symptoms and slowing the progression of structural damage in moderately to severely active rheumatoid arthritis (RA), in patients 18 years of age or older who have failed one or more disease-modifying antirheumatic drugs (DMARDs). Anakinra can be used alone or in combination with DMARDs other than Tumor Necrosis Factor (TNF) blocking agents.[L35415]

Anakinra is also indicated for the treatment of Neonata",L04AC03,"Agents reducing cytokine levels|Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Antirheumatic Agents|Biological Factors"
DB00027,Gramicidin D,small molecule,"Gramcidin D is a heterogeneous mixture of three antibiotic compounds, gramicidins A, B and C, making up 80%, 6%, and 14% respectively all of which are obtained from the soil bacterial species Bacillus brevis and called collectively gramicidin D. Gramcidins are 15 residue peptides with alternating D and L amino acids, which assemble inside of the hydrophobic interior of the cellular lipid bilayer to form a β-helix. Active against most Gram-positive bacteria and some Gram-negative organisms, Grami","For treatment of skin lesions, surface wounds and eye infections.",R02AB30,"Amino Acids, Peptides, and Proteins|Anti-Bacterial Agents|Anti-Infective Agents|Anti-Infective Agents, Local|Membrane Proteins"
DB00028,Human immunoglobulin G,biotech,"Intravenous immunoglobulin (IVIg) is a mixture of IgG1 and other antibodies derived from healthy human plasma via Cohn fractionation. The purification process includes cold alcohol fractionation, polyethylene glycol precipitation, and ion exchange chromatography. IVIg contains the same distribution of IgG antibody subclasses as is found in the general human population. IgG subclasses are fully represented in the following proportions: 70.3% IgG1, 24.7% IgG2, 3.1% IgG3, and 1.9% IgG4. IVIg is use","Human immunoglobulin G is indicated for the following conditions:

### Primary Immunodeficiency
- for the treatment of primary immunodeficiency in adult and pediatric patients[L39920, L39930, L39935, L39940, L39945, L39950, L39955, L39960, L39965, L39975, L39980, L40029, L40034, L40044]
- in combination with [hyaluronidase (human recombinant)] for the treatment of primary immunodeficiency in patients ≥2 years of age.[L42760]

### Immune Thrombocytopenic Purpura (ITP)
- for the treatment o",,"Amino Acids, Peptides, and Proteins|Antibodies|Antigen Neutralization|Blood Proteins|Globulins"
DB00029,Anistreplase,biotech,"Human tissue plasminogen activator, purified, glycosylated, 527 residues purified from CHO cells. Eminase is a lyophilized (freeze-dried) formulation of anistreplase, the p-anisoyl derivative of the primary Lys-plasminogen-streptokinase activator complex (a complex of Lys-plasminogen and streptokinase). A p-anisoyl group is chemically conjugated to a complex of bacterial-derived streptokinase and human Plasma-derived Lys-plasminogen proteins.","For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction",B01AD03,"Agents causing angioedema|Amino Acids, Peptides, and Proteins|Anticoagulants|Blood and Blood Forming Organs|Blood Proteins"
DB00030,Insulin human,biotech,"Human Insulin, also known as Regular Insulin, is a short-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Human insulin is produced by recombinant DNA technology and is identical to endogenously produced insulin. Typically prescribed for the management of diabetes mellitus, insulin is a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the u",Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.,A10AC01|A10AE01|A10AB01|A10AD01|A10AF01,"Alimentary Tract and Metabolism|Amino Acids, Peptides, and Proteins|Blood Glucose Lowering Agents|Cytochrome P-450 CYP1A2 Inducers|Cytochrome P-450 CYP1A2 Inducers (strength unknown)"
DB00031,Tenecteplase,biotech,"Tenecteplase is a tissue plasminogen activator (tPA) developed from modifications of natural human tPA complementary DNA (cDNA). It is a 527 amino acid with a substitution of threonine 103 with asparagine and substitution of asparagine 117 with glutamine within the kringle 1 domain, and a tetra-alanine substitution at amino acids 296-299 in the protease domain.",For treatment of myocardial infarction and lysis of intracoronary emboli,B01AD11,"Agents causing angioedema|Amino Acids, Peptides, and Proteins|Anticoagulants|Biological Factors|Blood and Blood Forming Organs"
DB00032,Menotropins,biotech,"Menotropins contains follicle stimulating hormone (FSH) and luteinizing hormone (LH) purified from the urine of postmenopausal women.  It is used as a fertility medication that is injected either subcutaneously or intramuscularly. It is composed of LH with 2 subunits, alpha = 92 residues, beta = 121 residues and FSH with 2 subunits, alpha = 92 residues, beta=111 residues.",For the treatment of female infertility,G03GA02|G03GA03,"Amino Acids, Peptides, and Proteins|Biological Products|Complex Mixtures|Fertility Agents|Fertility Agents, Female"
DB00033,Interferon gamma-1b,biotech,"Human Interferon gamma-1b (140 residues), produced from E. coli. Production of Actimmune is achieved by fermentation of a genetically engineered Escherichia coli bacterium containing the DNA which encodes for the human protein. Purification of the product is achieved by conventional column chromatography. 
The sequence displayed is a cDNA sequence which codes for human interferon gamma, as described by Gray et. al. and not specifically interferon gamma 1b.",Interferon gamma-1b is used for the treatment of Chronic granulomatous disease and Osteopetrosis.,,"Amino Acids, Peptides, and Proteins|Biological Factors|Cytochrome P-450 CYP1A2 Inhibitors|Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)|Cytochrome P-450 Enzyme Inhibitors"
DB00034,Interferon alfa-2a,biotech,Interferon a (human leukocyte protein moiety reduced). A type I interferon consisting of 165 amino acid residues with lysine in position 23. This protein is produced by recombinant DNA technology and resembles interferon secreted by leukocytes. It is used extensively as an antiviral or antineoplastic agent. An oral form is being developed by Amarillo Biosciences.,"For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. Also for the treatment of oral warts arising from HIV infection.",L03AB04,"Adjuvants, Immunologic|Alfa Interferons|Amino Acids, Peptides, and Proteins|Anti-Infective Agents|Antineoplastic Agents"
